I ^vm+i0+00++++_indicat_+i+
- ^punc++-++++++
tan ^r+++++!!+_rbother_+tan+
est√∫pido ^jms+++++!!++est„∫pido+
es ^va+ip+3s++++_indicat_present_vexist_+ser+
ser ^vm+n0+00+++!!+_vinf_mvser_vexist_+ser+
mon√°rquico ^nms+com++++!!+_nodetnp_singn_+mon„°rquico+
como ^con+sub++++!!+_othsingcon_+como+
republicano ^jms+++++!!++republicano+
; ^punc+sent+;++++++
tan ^r+++++!!+_rbother_+tan+
tonto ^jms+++++!!++tonto+
defender ^vm+n0+00++++_novinf_+defender+
a ^en++++++_1wrdprep_+a+
los ^lmp+def+++++_defart_+el+
pobres ^ncp+com++++!!+_plurn_+pobre+
como ^con+sub++++!!+_othsingcon_+como+
a ^en++++++_1wrdprep_+a+
los ^lmp+def+++++_defart_+el+
ricos ^nmp+com++++!!+_plurn_+rico+
. ^punc+sent+.++++++
La ^lfs+def+++++_defart_+la+
cuesti√≥n ^nfs+com+++++_singn_+cuesti„≥n+
ser√≠a ^va+c+?s++++_condit_vexist_+ser+
tener ^vm+n0+00++++_vinf_+tener+
dinero ^nms+com+++++_nodetnp_singn_+dinero+
, ^punc++,++++++
un ^lms+ind+++++_indefart_+un+
cochecito ^nms+com++dim+++_singn_dimin_+cochecito+
como ^con+sub++++!!+_othsingcon_+como+
√©se--y ^n+++++??+_nodetnp_++
se√±alaba ^vm+ii+?s++++_indicat_imperf_+se„±alar+
uno--y ^n+++++??+_nodetnp_++
una ^lfs+ind+++++_indefart_+un+
mujer ^nfs+com+++++_singn_+mujer+
como ^con+sub++++!!+_othsingcon_+como+
aqu√©lla ^p000+++++++aqu„©lla+
. ^punc+sent+.++++++
La ^lfs+def+++++_defart_+la+
hostilidad ^nfs+com+++++_singn_derivn_+hostilidad+
entre ^en++++++_1wrdprep_+entre+
Hurtado ^n+prop++++??+_propn_+hurtado+
y ^con+coor+++++_gensingcon_+y+
Montaner ^n+prop++++??+_propn_+montaner+
todav√≠a ^r++++++_rbother_+todav„≠a+
se ^p3cn+per++psv+++_sepsvagntlss_+„©l+
manifest√≥ ^vm+is+3s++++_indicat_preter_vcommun_+manifestar+
delante ^en++++++_mltwrdprep_+delante+
de ^en"+++++++de+
'l ^lms+def+++++_defart_+el+
escaparate ^nms+com+++++_singn_+escaparate+
de ^en++++++_1wrdprep_+de+
una ^lfs+ind+++++_indefart_+un+
librer√≠a ^nfs+com+++++_singn_+librer„≠a+
. ^punc+sent+.++++++
Hurtado ^n+++++??+_nodetnp_++
era ^vm+ii+?s++++_indicat_imperf_mvser_vexist_+ser+
partidario ^jms+++++!!+_predadj_+partidario+
de ^en++++++_1wrdprep_+de+
los ^lmp+def+++++_defart_+el+
escritores ^nmp+com+++++_plurn_+escritor+
naturalistas ^jcp+++++!!+_postadj_+naturalista+
, ^punc++,++++++
que ^que+rel++++!!+_indquerel_relproque_+que+
a ^en++++++_1wrdprep_+a+
Montaner ^n+prop++++??+_propn_+montaner+
no ^r++++++_rbother_+no+
le ^p3cs+per+++++_3pro_+„©l+
gustaban ^vm+ii+3p++++_indicat_imperf_vdes_+gustar+
; ^punc+sent+;++++++
Hurtado ^n+prop++++??+_propn_+hurtado+
era ^vm+ii+?s++++_indicat_imperf_mvser_vexist_+ser+
entusiasta ^ncs+com++++!!+_nodetnp_singn_+entusiasta+
de ^en++++++_1wrdprep_+de+
Espronceda ^n+prop+++++_propn_+espronceda+
, ^punc++,++++++
Montaner ^n+prop++++??+_propn_+montaner+
de ^en++++++_1wrdprep_+de+
Zorrilla ^n+prop+++++_propn_+zorrilla+
; ^punc+sent+;++++++
no ^r++++++_rbother_+no+
se ^p3cn+per++psv+++_sepsvagntlss_+„©l+
entend√≠an ^vm+ii+3p++++_indicat_imperf_vment_+entender+
en ^en++++++_1wrdprep_+en+
nada ^r+++++!!+_rbother_+nada+
. ^punc+sent+.++++++
Llegaron ^vm+is+3p++++_indicat_preter_vaspect_+llegar+
a ^en++++++_1wrdprep_+a+
la ^lfs+def+++++_defart_+la+
Puerta ^n+prop+++++_propn_+puerta+
de ^en++++++_1wrdprep_+de+
'l ^lms+def+++++_defart_+el+
Sol ^n+prop++++!!+_propn_+sol+
y ^con+coor+++++_gensingcon_+y+
tomaron ^vm+is+3p++++_indicat_preter_+tomar+
por ^en++++++_1wrdprep_+por+
la ^lfs+def+++++_defart_+la+
Carrera ^n+prop+++++_propn_+carrera+
de ^en++++++_1wrdprep_+de+
San ^jms+++++!!+_preadj_+san+
Jer√≥nimo ^n+prop+++++_propn_+jer„≥nimo+
. ^punc+sent+.++++++
- ^punc++-++++++
- ^punc++-++++++
Bueno ^fill+++++!!++buen+
, ^punc++,++++++
yo ^p1cs+per+++++_1pro_+yo+
me ^p1cs+per++mtz+++_1pro_+yo+
voy ^vm+ip+1s++++_indicat_present_+ir+
a ^en++++++_1wrdprep_+a+
casa--dijo ^n+++++??+_nodetnp_++
Hurtado ^n+prop++++??+_propn_+hurtado+
. ^punc+sent+.++++++
D√≥nde ^p000+int++++++d„≥nde+
vives?--le ^n+++++??+_nodetnp_++
pregunt√≥ ^vm+is+3s++++_indicat_preter_vcommun_+preguntar+
Aracil ^n+prop++++??+_propn_+aracil+
. ^punc+sent+.++++++
- ^punc++-++++++
- ^punc++-++++++
En ^en++++++_1wrdprep_+en+
la ^lfs+def+++++_defart_+la+
calle ^nfs+com+++++_singn_+calle+
de ^en++++++_1wrdprep_+de+
Atocha ^n+prop+++++_propn_+atocha+
. ^punc+sent+.++++++
- ^punc++-++++++
- ^punc++-++++++
Pues ^con+sub+++++_othsingcon_caussubconj_+pues+
los ^lmp+def+++++_defart_+el+
tres ^mcp+card++++!!++tres+
vivimos ^vm+ip+1p++++_1prod_indicat_present_+vivir+
cerca ^r+++++!!+_rbplace_+cerca+
. ^punc+sent+.++++++
Fueron ^vm+is+3p+++!!+_indicat_preter_mvser_vexist_+ser+
juntos ^jmp++++++_predadj_relatj_+junto+
a ^en++++++_1wrdprep_+a+
la ^lfs+def+++++_defart_+la+
plaza ^nfs+com+++++_singn_+plaza+
de ^en++++++_1wrdprep_+de+
Ant√≥n ^n+prop+++++_propn_+ant„≥n+
Mart√≠n ^n+prop+++++_propn_+mart„≠n+
y ^con+coor+++++_gensingcon_+y+
all√≠ ^r++++++_rbother_+all„≠+
se ^p3cn+per++psv++++„©l+
separaron ^vm+is+3p++++_indicat_preter_+separar+
con ^en++++++_1wrdprep_+con+
muy ^r++++++_rbother_+muy+
poca ^d3fs+ind++++!!+_quant_+poco+
afabilidad ^nfs+com+++++_singn_derivn_+afabilidad+
. ^punc+sent+.++++++
