>>Filename:written_encyc_art_Arte y arquitectura africanas.txt
>>Mode:written
>>Register:encyclopedia
>>End header
como ^con+sub++++!!+_othsingcon_+como+
también ^r++++++_rbother_+también+
los ^lmp+def+++++_defart_+el+
religiosos ^nmp+com++++!!+_plurn_+religioso+
. ^punc+sent+.++++++
Las ^lfp+def+++++_defart_+la+
aún ^r+++++!!+_rbtime_+aún+
vigentes ^jcp++++++_preadj_+vigente+
asociaciones ^nfp+com+++++_nodetnp_plurn_derivn_+asociación+
de ^en++++++_1wrdprep_+de+
hombres ^nmp+com+++++_nodetnp_plurn_+hombre+
poro ^nms+com+++++_nodetnp_singn_+poro+
de ^en++++++_1wrdprep_+de+
la ^lfs+def+++++_defart_+la+
etnia ^nfs+com+++++_singn_+etnia+
dan ^vm+ip+3p++++_indicat_present_+dar+
y ^con+coor+++++_gensingcon_+y+
sus ^d3cp+pos+++++_prepos_+su+
vecinos ^nmp+com++++!!+_plurn_+vecino+
de ^en++++++_1wrdprep_+de+
Liberia ^n+prop++++??+_propn_+liberia+
y ^con+coor+++++_gensingcon_+y+
Costa ^n+prop+++++_propn_+costa+
de ^en++++++_1wrdprep_+de+
Marfil ^n+prop+++++_propn_+marfil+
son ^vm+ip+3p++++_indicat_present_mvser_vexist_+ser+
ejemplos ^nmp+com+++++_nodetnp_plurn_+ejemplo+
característicos ^jmp++++++_postadj_+característico+
de ^en++++++_1wrdprep_+de+
este ^d3ms+dem++++!!+_predem_+este+
tipo ^nms+com+++++_singn_+tipo+
de ^en++++++_1wrdprep_+de+
mecenazgo ^nms+com+++++_nodetnp_singn_+mecenazgo+
artístico ^jms++++++_postadj_+artístico+
. ^punc+sent+.++++++
Los ^lmp+def+++++_defart_+el+
poro ^nms+com+++++_singn_+poro+
fueron ^vm+is+3p+++!!+_indicat_preter_mvser_vexist_+ser+
quienes ^p3cp+rel++++++quien+
encargaron ^vm+is+3p++++_indicat_preter_+encargar+
muchas ^d0fp+ind++++!!+_quant_+mucho+
de ^en++++++_1wrdprep_+de+
las ^lfp+def+++++_defart_+la+
máscaras ^nfp+com+++++_plurn_+máscara+
y ^con+coor+++++_gensingcon_+y+
esculturas ^nfp+com+++++_nodetnp_plurn_+escultura+
figurativas ^vm+++++??+++
halladas ^n+++++??+_nodetnp_++
en ^en++++++_1wrdprep_+en+
esta ^d3fs+dem++++!!+_predem_+este+
región ^nfs+com+++++_singn_derivn_+región+
. ^punc+sent+.++++++
Dentro ^en++++++_mltwrdprep_+dentro+
de ^en"+++++++de+
cada ^d0cs+ind+++++_quant_+cada+
comunidad ^nfs+com++++!!+_singn_derivn_+comunidad+
hubo ^vm+is+3s++++_indicat_preter_exhaber_+haber+
además ^r++++++_rbother_+además+
asociaciones ^nfp+com+++++_nodetnp_plurn_derivn_+asociación+
de ^en++++++_1wrdprep_+de+
carácter ^nms+com+++++_nodetnp_singn_+carácter+
más ^r++++++_rbother_+más+
gremial ^jcs+++++++gremial+
, ^punc++,++++++
integradas ^vm+ps+0p++++_preter_+integrar+
por ^en++++++_1wrdprep_+por+
distintos ^jmp++++++_preadj_+distinto+
miembros ^nmp+com+++++_nodetnp_plurn_+miembro+
según ^en++++++_1wrdprep_+según+
sus ^d3cp+pos+++++_prepos_+su+
edades ^nfp+com+++++_plurn_derivn_+edad+
y ^con+coor+++++_gensingcon_+y+
oficios ^nmp+com+++++_nodetnp_plurn_+oficio+
, ^punc++,++++++
convirtiéndo ^n+++++??+_nodetnp_++
se ^p3cn+per++++clt+_3pro_justse_clitic_++
también ^r++++++_rbother_+también+
en ^en++++++_1wrdprep_+en+
importantes ^jcp++++++_preadj_+importante+
patrocinadores ^nmp+com+++++_nodetnp_plurn_derivn_+patrocinador+
de ^en++++++_1wrdprep_+de+
arte ^nms+com+++++_nodetnp_singn_+arte+
africano ^jms+++++!!+_postadj_+africano+
. ^punc+sent+.++++++
Ejemplos ^nmp+com+++++_nodetnp_plurn_+ejemplo+
de ^en++++++_1wrdprep_+de+
obras ^nfp+com+++++_nodetnp_plurn_+obra+
artísticas ^jfp++++++_postadj_+artístico+
encargadas ^jfp+++++!!++encargado+
por ^en++++++_1wrdprep_+por+
estas ^d3fp+dem++++!!+_predem_+este+
asociaciones ^nfp+com+++++_plurn_derivn_+asociación+
los ^p3mp+per+++++_3pro_+el+
podemos ^vm+ip+1p++++_1prod_indicat_present_+poder+
encontrar ^vm+n0+00++++_vinf_vment_+encontrar+
entre ^en++++++_1wrdprep_+entre+
los ^lmp+def+++++_defart_+el+
bambara ^n+++++??+++
( ^punc++(++++++
Malí ^n+prop++++??+_propn_+malí+
) ^punc++)++++++
y ^con+coor+++++_gensingcon_+y+
entre ^en++++++_1wrdprep_+entre+
los ^lmp+def+++++_defart_+el+
ibo ^n+++++??+++
y ^con+coor+++++_gensingcon_+y+
los ^lmp+def+++++_defart_+el+
ejagham ^n+++++??+++
( ^punc++(++++++
Nigeria ^n+prop+++++_propn_+nigeria+
. ^punc+sent+.++++++
) ^punc++)++++++
A ^en++++++_1wrdprep_+a+
veces ^nfp+com+++++_nodetnp_plurn_+vez+
cada ^d0cs+ind+++++_quant_+cada+
grupo ^nms+com+++++_singn_+grupo+
o ^con+coor+++++_gensingcon_+o+
gremio ^nms+com+++++_nodetnp_singn_+gremio+
poseía ^vm+ii+?s++++_indicat_imperf_+poseer+
su ^d3cs+pos+++++_prepos_+su+
propio ^nms+com++++!!+_singn_+propio+
distintivo ^jms+++++!!+_postadj_+distintivo+
. ^punc+sent+.++++++
Entre ^en++++++_1wrdprep_+entre+
los ^lmp+def+++++_defart_+el+
ejagham ^n+++++??+++
, ^punc++,++++++
las ^lfp+def+++++_defart_+la+
máscaras ^nfp+com+++++_plurn_+máscara+
de ^en++++++_1wrdprep_+de+
las ^lfp+def+++++_defart_+la+
sociedades ^nfp+com+++++_plurn_derivn_+sociedad+
cazadoras ^jfp+++++!!+_postadj_+cazador+
venían ^vm+ii+3p++++_indicat_imperf_+venir+
caracterizadas ^vm+ps+0p++++_preter_+caracterizar+
por ^en++++++_1wrdprep_+por+
formas ^nfp+com+++++_nodetnp_plurn_+forma+
animales ^jcp+++++!!+_postadj_+animal+
, ^punc++,++++++
y ^con+coor+++++_gensingcon_+y+
los ^lmp+def+++++_defart_+el+
temas ^nmp+com+++++_plurn_+tema+
de ^en++++++_1wrdprep_+de+
deformidad ^nfs+com+++++_nodetnp_singn_derivn_+deformidad+
humana ^jfs++++++_postadj_+humano+
han ^va+ip+3p++++_indicat_present_perfect_+haber+
aparecido ^vm+ps+0s+++++aparecer+
asociados ^jmp+++++!!++asociado+
con ^en++++++_1wrdprep_+con+
bastante ^r+++++!!+_rbother_+bastante+
frecuencia ^nfs+com+++++_nodetnp_singn_derivn_+frecuencia+
a ^en++++++_1wrdprep_+a+
máscaras ^nfp+com+++++_nodetnp_plurn_+máscara+
guerreras ^jfp++++++_postadj_+guerrero+
; ^punc+sent+;++++++
las ^lfp+def+++++_defart_+la+
imágenes ^nfp+com+++++_plurn_+imagen+
de ^en++++++_1wrdprep_+de+
mujeres ^nfp+com+++++_nodetnp_plurn_+mujer+
se ^p3cn+per++psv+por++_3pro_sepsvpor_+él+
utilizaron ^vm+is+3p++++_indicat_preter_+utilizar+
por ^en++++++_1wrdprep_+por+
regla ^nfs+com+++++_nodetnp_singn_+regla+
general ^jcs+++++!!+_postadj_+general+
para ^en++++++_1wrdprep_+para+
las ^lfp+def+++++_defart_+la+
asociaciones ^nfp+com+++++_plurn_derivn_+asociación+
femeninas ^jfp++++++_postadj_+femenino+
. ^punc+sent+.++++++
La ^lfs+def+++++_defart_+la+
religión ^nfs+com++++!!+_singn_derivn_+religión+
y ^con+coor+++++_gensingcon_+y+
sus ^d3cp+pos+++++_prepos_+su+
distintas ^jfp++++++_preadj_+distinto+
organizaciones ^nfp+com+++++_plurn_derivn_+organización+
de ^en++++++_1wrdprep_+de+
culto ^nms+com++++!!+_nodetnp_singn_+culto+
fueron ^vm+is+3p+++!!+_indicat_preter_mvser_vexist_+ser+
también ^r++++++_rbother_+también+
importantes ^jcp++++++_postadj_preadj_+importante+
patronos ^nmp+com+++++_nodetnp_plurn_+patrono+
para ^en++++++_1wrdprep_+para+
el ^lms+def+++++_defart_+el+
arte ^nms+com+++++_singn_+arte+
africano ^jms+++++!!+_postadj_+africano+
. ^punc+sent+.++++++
Los ^lmp+def+++++_defart_+el+
objetos ^nmp+com+++++_plurn_+objeto+
artísticos ^jmp++++++_postadj_+artístico+
no ^r++++++_rbother_+no+
fueron ^vm+is+3p+++!!+_indicat_preter_mvser_vexist_+ser+
solamente ^r++++++_rbmente_+solamente+
un ^lms+ind+++++_indefart_+un+
componente ^nms+com++++!!+_singn_+componente+
importante ^jcs++++++_postadj_+importante+
de ^en++++++_1wrdprep_+de+
los ^lmp+def+++++_defart_+el+
altares ^nmp+com+++++_plurn_+altar+
y ^con+coor+++++_gensingcon_+y+
capillas ^nfp+com+++++_nodetnp_plurn_+capilla+
, ^punc++,++++++
sino ^con+sub+++++_mltwrdcon_+sino+
que ^con"+sub++++++que+
también ^r++++++_rbother_+también+
desempeñaron ^vm+is+3p++++_indicat_preter_+desempeñar+
un ^lms+ind+++++_indefart_+un+
destacado ^vm+ps+0s++++_preter_vcommun_+destacar+
papel ^nms+com+++++_nodetnp_singn_+papel+
en ^en++++++_1wrdprep_+en+
las ^lfp+def+++++_defart_+la+
diversas ^jfp++++++_preadj_+diverso+
procesiones ^nfp+com+++++_plurn_derivn_+procesión+
de ^en++++++_1wrdprep_+de+
carácter ^nms+com+++++_nodetnp_singn_+carácter+
religioso ^jms+++++!!+_postadj_+religioso+
que ^que+relat++++!!+_relproque_+que+
se ^p3cn+per++psv+++_3pro_sepsvagntlss_+él+
hacía ^vm+ii+?s++++_indicat_imperf_vfacil_+hacer+
en ^en++++++_1wrdprep_+en+
las ^lfp+def+++++_defart_+la+
diferentes ^jcp++++++_preadj_+diferente+
tribus ^nfp+com+++++_plurn_+tribu+
. ^punc+sent+.++++++
Entre ^en++++++_1wrdprep_+entre+
los ^lmp+def+++++_defart_+el+
yoruba ^j00+++++++yoruba+
de ^en++++++_1wrdprep_+de+
Nigeria ^n+prop+++++_propn_+nigeria+
, ^punc++,++++++
los ^lmp+def+++++_defart_+el+
cultos ^nmp+com++++!!+_plurn_+culto+
vinculados ^vm+ps+0p+pstn+++_preter_+vincular+
a ^en++++++_1wrdprep_+a+
las ^lfp+def+++++_defart_+la+
principales ^jcp+++++!!+_preadj_+principal+
divinidades ^nfp+com+++++_plurn_derivn_+divinidad+
: ^punc+sent+:++++++
Shango ^n+++++??+_nodetnp_++
( ^punc++(++++++
trueno ^nms+com+++++_nodetnp_singn_+trueno+
, ^punc++,++++++
) ^punc++)++++++
Obatala ^n+prop++++??+_propn_+obatala+
( ^punc++(++++++
creatividad ^nfs+com+++++_nodetnp_singn_derivn_+creatividad+
, ^punc++,++++++
) ^punc++)++++++
Oshum ^n+prop++++??+_propn_+oshum+
( ^punc++(++++++
agua ^nfs+com+++++_nodetnp_singn_+agua+
, ^punc++,++++++
) ^punc++)++++++
Ifa ^n+prop++++??+_propn_+ifa+
( ^punc++(++++++
conocimiento ^nms+com+++++_nodetnp_singn_derivn_+conocimiento+
, ^punc++,++++++
) ^punc++)++++++
Yemoja ^n+prop++++??+_propn_+yemoja+
( ^punc++(++++++
brujería ^nfs+com+++++_nodetnp_singn_+brujería+
, ^punc++,++++++
) ^punc++)++++++
Eshu ^n+prop++++??+_propn_+eshu+
( ^punc++(++++++
sabiduría ^nfs+com+++++_nodetnp_singn_+sabiduría+
) ^punc++)++++++
y ^con+coor+++++_gensingcon_+y+
Odudua ^vm+++++??+++
( ^punc++(++++++
tierra ^nfs+com++++!!+_nodetnp_singn_+tierra+
, ^punc++,++++++
) ^punc++)++++++
tuvieron ^vm+is+3p++++_indicat_preter_+tener+
un ^lms+ind+++++_indefart_+un+
extenso ^jms++++++_preadj_+extenso+
repertorio ^nms+com+++++_singn_+repertorio+
de ^en++++++_1wrdprep_+de+
formas ^nfp+com+++++_nodetnp_plurn_+forma+
artísticas ^jfp++++++_postadj_+artístico+
asociadas ^jfp+++++!!++asociado+
a ^en++++++_1wrdprep_+a+
ellos ^p3mp+per+++++_3pro_+él+
, ^punc++,++++++
como ^con+sub++++!!+_othsingcon_+como+
figuras ^nfp+com+++++_nodetnp_plurn_+figura+
, ^punc++,++++++
máscaras ^nfp+com+++++_nodetnp_plurn_+máscara+
, ^punc++,++++++
cerámica ^jfs+++++!!++cerámico+
, ^punc++,++++++
tejidos ^nmp+com++++!!+_nodetnp_plurn_+tejido+
y ^con+coor+++++_gensingcon_+y+
joyas ^nfp+com+++++_nodetnp_plurn_+joya+
. ^punc+sent+.++++++
Aquí ^r++++++_rbplace_+aquí+
, ^punc++,++++++
como ^con+sub++++!!+_othsingcon_+como+
en ^en++++++_1wrdprep_+en+
otras ^d3fp+ind++++!!+_quant_+otro+
partes ^nfp+com+++++_plurn_+parte+
de ^en++++++_1wrdprep_+de+
África ^jfs+++++++áfrico+
, ^punc++,++++++
las ^lfp+def+++++_defart_+la+
piezas ^nfp+com+++++_plurn_derivn_+pieza+
artísticas ^jfp++++++_postadj_+artístico+
utilizadas ^vm+ps+0p++++_preter_+utilizar+
en ^en++++++_1wrdprep_+en+
relación ^nfs+com+++++_nodetnp_singn_derivn_+relación+
con ^en++++++_1wrdprep_+con+
el ^lms+def+++++_defart_+el+
culto ^nms+com++++!!+_singn_+culto+
a ^en++++++_1wrdprep_+a+
'l ^lms+def+++++_othelque_defart_+el+
que ^que+relat++++!!+_relproque_+que+
representan ^vm+ip+3p++++_indicat_present_+representar+
, ^punc++,++++++
se ^p3cn+per++psv+por++_3pro_sepsvpor_+él+
han ^va+ip+3p++++_indicat_present_perfect_+haber+
identificado ^vm+ps+0s+++++identificar+
, ^punc++,++++++
por ^en++++++_1wrdprep_+por+
regla ^nfs+com+++++_nodetnp_singn_+regla+
general ^jcs+++++!!+_postadj_+general+
, ^punc++,++++++
a ^en++++++_mltwrdprep_+a+
través ^en"+++++++través+
de ^en"+++++++de+
su ^d3cs+pos+++++_prepos_+su+
iconografía ^nfs+com+++++_singn_+iconografía+
, ^punc++,++++++
materiales ^jcp+++++!!++material+
, ^punc++,++++++
estilos ^nmp+com+++++_nodetnp_plurn_+estilo+
y ^con+coor+++++_gensingcon_+y+
modos ^nmp+com+++++_nodetnp_plurn_+modo+
de ^en++++++_1wrdprep_+de+
fabricación ^nfs+com+++++_nodetnp_singn_derivn_+fabricación+
. ^punc+sent+.++++++
III ^j00+++++!!++iii+
. ^punc+sent+.++++++
EL ^lms+def+++++_defart_+el+
PAPEL ^n+prop+++++_propn_+papel+
DE ^en++++++_1wrdprep_+de+
'l ^lms+def+++++_defart_+el+
ARTE ^n+prop+++++_propn_+arte+
EN ^en++++++_1wrdprep_+en+
LA ^lfs+def+++++_defart_+la+
SOCIEDAD ^n+prop+++++_derivn_propn_+sociedad+
AFRICANA ^jfs++++++_postadj_+africano+
Los ^lmp+def+++++_defart_+el+
múltiples ^jcp++++++_preadj_+múltiple+
papeles ^nmp+com+++++_plurn_+papel+
desempeñados ^n+++++??+_nodetnp_++
por ^en++++++_1wrdprep_+por+
el ^lms+def+++++_defart_+el+
arte ^nms+com+++++_singn_+arte+
en ^en++++++_1wrdprep_+en+
las ^lfp+def+++++_defart_+la+
comunidades ^nfp+com+++++_plurn_derivn_+comunidad+
africanas ^jfp++++++_postadj_+africano+
son ^vm+ip+3p++++_indicat_present_mvser_vexist_+ser+
tan ^r+++++!!+_rbother_+tan+
variados ^jmp+++++!!+_postadj_+variado+
como ^con+sub++++!!+_othsingcon_+como+
sus ^d3cp+pos+++++_prepos_+su+
formas ^nfp+com+++++_plurn_+forma+
de ^en++++++_1wrdprep_+de+
mecenazgo ^nms+com+++++_nodetnp_singn_+mecenazgo+
. ^punc+sent+.++++++
Entre ^en++++++_1wrdprep_+entre+
ellos ^p3mp+per+++++_3pro_+él+
se ^p3cn+per++psv+++_3pro_sepsvagntlss_+él+
incluyen ^vm+ip+3p++++_indicat_present_+incluir+
el ^lms+def+++++_defart_+el+
social ^jcs+++++++social+
, ^punc++,++++++
político ^nms+com++++!!+_nodetnp_singn_+político+
, ^punc++,++++++
económico ^jms+++++++económico+
, ^punc++,++++++
histórico ^jms+++++++histórico+
y ^con+coor+++++_gensingcon_+y+
terapéutico ^jms+++++++terapéutico+
. ^punc+sent+.++++++
A ^en++++++_1wrdprep_+a+
. ^punc+sent+.++++++
Papel ^nms+com+++++_nodetnp_singn_+papel+
social ^jcs++++++_postadj_+social+
Una ^lfs+ind+++++_lode_indefart_+un+
de ^en++++++_1wrdprep_+de+
las ^lfp+def+++++_defart_+la+
funciones ^nfp+com+++++_plurn_derivn_+función+
más ^r++++++_rbother_+más+
importantes ^jcp+++++++importante+
de ^en++++++_1wrdprep_+de+
'l ^lms+def+++++_defart_+el+
arte ^nms+com+++++_singn_+arte+
africano ^jms+++++!!+_postadj_+africano+
radica ^vm+ip+3s++++_indicat_present_+radicar+
en ^en++++++_1wrdprep_+en+
la ^lfs+def+++++_defart_+la+
diferenciación ^nfs+com+++++_singn_derivn_+diferenciación+
social ^jcs++++++_postadj_+social+
. ^punc+sent+.++++++
De ^j+++++++de+
acuerdo ^j"+++++++acuerdo+
con ^en++++++_1wrdprep_+con+
ello ^p30s+per+++++_3pro_+ello+
, ^punc++,++++++
las ^lfp+def+++++_defart_+la+
mujeres ^nfp+com+++++_plurn_+mujer+
suelen ^vm+ip+3p+++!!+_indicat_present_vaspect_+soler+
representarse ^vm+n0+00++++_vinf_+representarse+
como ^con+sub++++!!+_othsingcon_+como+
madres ^nfp+com+++++_nodetnp_plurn_+madre+
, ^punc++,++++++
generalmente ^r++++++_rbmente_+generalmente+
amamantando ^vm+++++??+++
o ^con+coor+++++_gensingcon_+o+
acunando ^vm+pp+00++++_present_+acunar+
a ^en++++++_1wrdprep_+a+
su ^d3cs+pos+++++_prepos_+su+
hijo ^nms+com+++++_singn_+hijo+
. ^punc+sent+.++++++
Los ^lmp+def+++++_defart_+el+
hombres ^nmp+com+++++_plurn_+hombre+
, ^punc++,++++++
en ^con+sub+++++_mltwrdcon_+en+
cambio ^con"+sub++++++cambio+
, ^punc++,++++++
suelen ^vm+ip+3p+++!!+_indicat_present_vaspect_+soler+
aparecer ^vm+n0+00++++_vinf_+aparecer+
bien ^r+++++!!+_rbmannr_+bien+
como ^con+sub++++!!+_othsingcon_+como+
ancianos ^nmp+com++++!!+_nodetnp_plurn_+anciano+
, ^punc++,++++++
los ^lmp+def+++++_defart_+el+
jefes ^nmp+com+++++_plurn_+jefe+
tradicionales ^jcp++++++_postadj_+tradicional+
de ^en++++++_1wrdprep_+de+
la ^lfs+def+++++_defart_+la+
comunidad ^nfs+com++++!!+_singn_derivn_+comunidad+
, ^punc++,++++++
bien ^r+++++!!+_rbmannr_+bien+
como ^con+sub++++!!+_othsingcon_+como+
guerreros ^nmp+com++++!!+_nodetnp_plurn_+guerrero+
montando ^vm+pp+00++++_present_+montar+
a ^en++++++_1wrdprep_+a+
caballo ^nms+com+++++_nodetnp_singn_+caballo+
o ^con+coor+++++_gensingcon_+o+
pertrechados ^vm+ps+0p++++_preter_+pertrechar+
para ^en++++++_1wrdprep_+para+
la ^lfs+def+++++_defart_+la+
lucha ^nfs+com+++++_singn_+lucha+
. ^punc+sent+.++++++
Los ^lmp+def+++++_defart_+el+
temas ^nmp+com+++++_plurn_+tema+
sociales ^jcp++++++_postadj_+social+
destacan ^vm+ip+3p++++_indicat_present_vcommun_+destacar+
, ^punc++,++++++
asimismo ^r++++++_rbother_+asimismo+
, ^punc++,++++++
en ^en++++++_1wrdprep_+en+
muchas ^d0fp+ind++++!!+_quant_+mucho+
representaciones ^nfp+com+++++_plurn_derivn_+representación+
de ^en++++++_1wrdprep_+de+
máscaras ^nfp+com+++++_nodetnp_plurn_+máscara+
. ^punc+sent+.++++++
En ^en++++++_1wrdprep_+en+
estas ^d3fp+dem++++!!+_predem_+este+
representaciones ^nfp+com+++++_plurn_derivn_+representación+
las ^lfp+def+++++_defart_+la+
características ^nfp+com++++!!+_plurn_+característica+
humanas ^jfp++++++_postadj_+humano+
y ^con+coor+++++_gensingcon_+y+
animales ^nmp+com++++!!+_nodetnp_plurn_+animal+
, ^punc++,++++++
personificadas ^vm+ps+0p+pstn+por++_preter_+personificar+
por ^en++++++_1wrdprep_+por+
seres ^nmp+com+++++_nodetnp_plurn_+ser+
humanos ^jmp+++++!!+_postadj_+humano+
debidamente ^r++++++_rbmente_+debidamente+
vestidos ^vm+ps+0p+++!!+_preter_+vestir+
y ^con+coor+++++_gensingcon_+y+
enmascarados ^vm+ps+0p+++!!+_preter_+enmascarar+
, ^punc++,++++++
adoptan ^vm+ip+3p++++_indicat_present_+adoptar+
una ^lfs+ind+++++_indefart_+un+
gran ^jcs++++++_preadj_+gran+
variedad ^nfs+com+++++_singn_derivn_+variedad+
de ^en++++++_1wrdprep_+de+
papeles ^nmp+com+++++_nodetnp_plurn_+papel+
para ^en++++++_1wrdprep_+para+
ejemplificar ^vm+++++??+++
con ^en++++++_1wrdprep_+con+
ellos ^p3mp+per+++++_3pro_+él+
las ^lfp+def+++++_defart_infnoun_+la+
formar ^vm+n0+00+++++formar+
correctas ^jfp+++++++correcto+
e ^con+coor+++++_gensingcon_+e+
incorrectas ^jfp+++++++incorrecto+
de ^en++++++_1wrdprep_+de+
la ^lfs+def+++++_defart_+la+
conducta ^nfs+com+++++_singn_+conducta+
social ^jcs++++++_postadj_+social+
. ^punc+sent+.++++++
En ^en++++++_1wrdprep_+en+
las ^lfp+def+++++_defart_+la+
representaciones ^nfp+com+++++_plurn_derivn_+representación+
de ^en++++++_1wrdprep_+de+
los ^lmp+def+++++_defart_+el+
ijo ^n+++++??+++
y ^con+coor+++++_gensingcon_+y+
de ^en++++++_1wrdprep_+de+
los ^lmp+def+++++_defart_+el+
ibo ^n+++++??+++
, ^punc++,++++++
a ^en++++++_1wrdprep_+a+
'l ^lms+def+++++_defart_+el+
sur ^nms+com++++!!+_singn_+sur+
de ^en++++++_1wrdprep_+de+
Nigeria ^n+prop+++++_propn_+nigeria+
, ^punc++,++++++
se ^p3cn+per++psv+++_3pro_sepsvagntlss_+él+
han ^va+ip+3p++++_indicat_present_perfect_+haber+
encontrado ^vm+ps+0s++++_vment_+encontrar+
diversos ^jmp++++++_preadj_+diverso+
modelos ^nmp+com++++!!+_nodetnp_plurn_+modelo+
de ^en++++++_1wrdprep_+de+
conducta ^nfs+com+++++_nodetnp_singn_+conducta+
antisocial ^jcs++++++_postadj_+antisocial+
, ^punc++,++++++
como ^con+sub++++!!+_othsingcon_+como+
, ^punc++,++++++
por ^r++++++_rbother_+por+
ejemplo ^r"+++++++ejemplo+
, ^punc++,++++++
el ^lms+def+++++_defart_+el+
avaro ^nms+com++++!!+_singn_+avaro+
, ^punc++,++++++
el ^lms+def+++++_defart_+el+
codicioso ^jms+++++++codicioso+
, ^punc++,++++++
la ^lfs+def+++++_defart_+la+
prostituta ^nfs+com+++++_singn_+prostituta+
, ^punc++,++++++
el ^lms+def+++++_defart_+el+
médico ^nms+com++++!!+_singn_+médico+
incompetente ^jcs++++++_postadj_+incompetente+
y ^con+coor+++++_gensingcon_+y+
el ^lms+def+++++_defart_+el+
abogado ^nms+com+++++_singn_+abogado+
sin ^en++++++_1wrdprep_+sin+
escrúpulos ^nmp+com+++++_nodetnp_plurn_+escrúpulo+
. ^punc+sent+.++++++
En ^en++++++_1wrdprep_+en+
las ^lfp+def+++++_defart_+la+
representaciones ^nfp+com+++++_plurn_derivn_+representación+
egungun ^n+++++??+_nodetnp_++
de ^en++++++_1wrdprep_+de+
la ^lfs+def+++++_defart_+la+
vecina ^nfs+com++++!!+_singn_+vecino+
tribu ^n00+com++++!!+_nodetnp_+tribu+
yoruba ^j00++++++_postadj_+yoruba+
, ^punc++,++++++
el ^lms+def+++++_defart_+el+
chismoso ^jms+++++++chismoso+
, ^punc++,++++++
el ^lms+def+++++_defart_+el+
glotón ^jms+++++++glotón+
y ^con+coor+++++_gensingcon_+y+
el ^lms+def+++++_defart_+el+
extraño ^jms+++++!!+_preadj_+extraño+
amaneramiento ^nms+com+++++_singn_derivn_+amaneramiento+
de ^en++++++_1wrdprep_+de+
los ^lmp+def+++++_defart_+el+
extranjeros ^nmp+com++++!!+_plurn_+extranjero+
forman ^vm+ip+3p++++_indicat_present_+formar+
parte ^nfs+com+++++_nodetnp_singn_+parte+
destacada ^vm+ps+0s+pstn+++_preter_vcommun_+destacar+
dentro ^en++++++_mltwrdprep_+dentro+
de ^en"+++++++de+
los ^lmp+def+++++_defart_+el+
modelos ^nmp+com++++!!+_plurn_+modelo+
sociales ^jcp++++++_postadj_+social+
negativos ^jmp+++++!!++negativo+
. ^punc+sent+.++++++
B ^n00+++++!!+_nodetnp_+b+
. ^punc+sent+.++++++
Papel ^nms+com+++++_nodetnp_singn_+papel+
político ^jms+++++!!+_postadj_+político+
El ^lms+def+++++_defart_+el+
arte ^nms+com+++++_singn_+arte+
africano ^jms+++++!!+_postadj_+africano+
desempeña ^vm+ip+3s++++_indicat_present_+desempeñar+
también ^r++++++_rbother_+también+
un ^lms+ind+++++_indefart_+un+
importante ^jcs++++++_preadj_+importante+
papel ^nms+com+++++_singn_+papel+
dentro ^en++++++_mltwrdprep_+dentro+
de ^en"+++++++de+
'l ^lms+def+++++_defart_+el+
poder ^nms+com++++!!+_singn_+poder+
político ^jms+++++!!+_postadj_+político+
. ^punc+sent+.++++++
Entre ^en++++++_1wrdprep_+entre+
los ^lmp+def+++++_defart_+el+
dam ^n+++++??+++
( ^punc++(++++++
Liberia ^n+prop++++??+_propn_+liberia+
, ^punc++,++++++
) ^punc++)++++++
kota ^n+++++??+_nodetnp_++
( ^punc++(++++++
Gabón ^n+prop++++??+_propn_+gabón+
, ^punc++,++++++
) ^punc++)++++++
pende ^vm+ip+3s++++_indicat_present_+pender+
( ^punc++(++++++
Zaire ^n+prop+++++_propn_+zaire+
) ^punc++)++++++
y ^con+coor+++++_gensingcon_+y+
otros ^d3mp+ind++++!!+_quant_+otro+
pueblos ^nmp+com+++++_plurn_+pueblo+
, ^punc++,++++++
la ^lfs+def+++++_defart_+la+
gente ^nfs+com+++++_singn_+gente+
lleva ^vm+ip+3s++++_indicat_present_+llevar+
máscaras ^nfp+com+++++_nodetnp_plurn_+máscara+
imitando ^vm+pp+00++++_present_+imitar+
a ^en++++++_1wrdprep_+a+
jueces ^ncp+com+++++_nodetnp_plurn_+juez+
y ^con+coor+++++_gensingcon_+y+
policías ^ncp+com++++!!+_nodetnp_plurn_+policía+
. ^punc+sent+.++++++
Las ^lfp+def+++++_defart_+la+
máscaras ^nfp+com+++++_plurn_+máscara+
de ^en++++++_1wrdprep_+de+
los ^lmp+def+++++_defart_+el+
kwele ^n+++++??+++
gon ^n+++++??+_nodetnp_++
de ^en++++++_1wrdprep_+de+
Gabón ^n+prop++++??+_propn_+gabón+
son ^vm+ip+3p++++_indicat_present_mvser_vexist_+ser+
ejemplos ^nmp+com+++++_nodetnp_plurn_+ejemplo+
particularmente ^r++++++_rbmente_+particularmente+
buenos ^jmp+++++++buen+
de ^en++++++_1wrdprep_+de+
este ^d3ms+dem++++!!+_predem_+este+
tipo ^nms+com+++++_singn_+tipo+
de ^en++++++_1wrdprep_+de+
representaciones ^nfp+com+++++_nodetnp_plurn_derivn_+representación+
de ^en++++++_1wrdprep_+de+
la ^lfs+def+++++_defart_+la+
comunidad ^nfs+com++++!!+_singn_derivn_+comunidad+
oficial ^jcs+++++!!+_postadj_+oficial+
. ^punc+sent+.++++++
